run_date,started_at_utc,duration_s,status,forecast_rows,flood_rows,archive_rows,dashboard_rows,gates
2026-09-06,2026-09-06T00:33:57+00:00,14.7,fetch_failed,,,,,"fetch_error(https://archive-api.open-meteo.com/v1/archive failed after 3 attempts: HTTP 429: {""error"":true,""reason"":""Minutely API request limit exceeded. Please try again in one minute.""})"
2026-09-06,2026-09-06T00:35:40+00:00,19.1,ok,248,248,75516,58140,freshness=pass;coverage=pass;null_share=pass;ranges=pass
2026-09-06,2026-09-06T00:45:58+00:00,18.3,ok,434,434,75516,63270,freshness=pass;coverage=pass;null_share=pass;ranges=pass
2026-09-06,2026-09-06T00:53:37+00:00,15.5,ok,434,434,75516,63270,freshness=pass;coverage=pass;null_share=pass;ranges=pass
2026-09-06,2026-09-06T00:57:12+00:00,12.8,ok,434,434,75516,63270,freshness=pass;coverage=pass;null_share=pass;ranges=pass
2026-09-06,2026-09-06T00:58:35+00:00,239.8,ok,434,434,75516,63270,freshness=pass;coverage=pass;null_share=pass;ranges=pass
2026-09-06,2026-09-06T01:16:13+00:00,20.0,ok,434,434,75516,63270,freshness=pass;coverage=pass;null_share=pass;ranges=pass
2026-09-06,2026-09-06T01:48:39+00:00,14.7,ok,434,434,75516,63270,freshness=pass;coverage=pass;null_share=pass;ranges=pass
2026-09-06,2026-09-06T01:50:39+00:00,19.7,ok,434,434,75981,63270,freshness=pass;coverage=pass;null_share=pass;ranges=pass
2026-09-07,2026-09-06T23:24:32+00:00,19.0,ok,868,868,76446,63270,freshness=pass;coverage=pass;null_share=pass;ranges=pass
2026-09-08,2026-09-07T23:54:20+00:00,20.5,ok,1302,1302,76911,63270,freshness=pass;coverage=pass;null_share=pass;ranges=pass
2026-09-09,2026-09-08T23:47:31+00:00,18.9,ok,1736,1736,77376,63270,freshness=pass;coverage=pass;null_share=pass;ranges=pass
2026-09-10,2026-09-09T23:46:21+00:00,21.5,ok,2170,2170,77841,63270,freshness=pass;coverage=pass;null_share=pass;ranges=pass
2026-09-11,2026-09-10T23:37:56+00:00,20.6,ok,2604,2604,78306,63270,freshness=pass;coverage=pass;null_share=pass;ranges=pass
